id,Count,shape_x,shape_y,shape_z
mp-1102671,2195200,140,140,112
mp-557962,1693440,108,112,140
mp-1193207,2488320,96,120,216
mp-6428,884736,96,96,96
mp-863721,512000,80,80,80
mp-2218462,903168,96,84,112
mp-8022,216000,60,60,60
mp-768832,2016000,120,120,140
mp-1206000,903168,112,112,72
mp-5659,645120,48,48,280
mp-1214416,884736,96,96,96
mp-541150,1259712,108,108,108
mp-1176437,752640,80,84,112
mp-2735,175616,56,56,56
mp-505611,2985984,144,144,144
mp-1079171,1806336,168,168,64
mp-865880,2744000,140,140,140
mp-1209894,2519424,108,108,216
mp-15843,2007040,112,112,160
mp-1214804,216000,60,60,60
mp-1201755,1843200,128,80,180
mp-1213491,3686400,128,120,240
mp-1029446,376320,56,56,120
mp-1035896,1146880,64,128,140
mp-1096658,4096000,160,160,160
mp-566293,5806080,144,144,280
mp-44,184320,48,48,80
mp-1078952,884736,96,96,96
mp-770328,1228800,80,96,160
mp-979433,373248,72,72,72
mp-861906,691200,80,80,108
mp-530781,29859840,972,240,128
mp-560715,2286144,108,108,196
mp-1222788,592704,84,84,84
mp-1095079,884736,96,96,96
mp-1219279,2332800,72,180,180
mp-1205874,1048576,128,128,64
mp-1175091,2304000,120,120,160
mp-1214451,1881600,140,140,96
mp-17407,1693440,168,84,120
mp-1193886,2744000,140,140,140
mp-1210391,1680000,100,120,140
mp-20138,983040,128,128,60
mp-1094572,512000,80,80,80
mp-1184311,373248,72,72,72
mp-1025313,393216,64,64,96
mp-1184346,663552,96,96,72
mp-1199393,2488320,60,192,216
mp-1650463,921600,96,96,100
mp-1112542,2744000,140,140,140
mp-1181758,2764800,120,128,180
mp-11927,423360,60,84,84
mp-5921,262144,64,64,64
mp-1197619,16200000,300,300,180
mp-1217163,967680,56,96,180
mp-1209106,4300800,160,160,168
mp-7507,2903040,144,144,140
mp-1175024,1433600,80,80,224
mp-1206992,373248,72,72,72
mp-768564,2293760,140,128,128
mp-570695,2752512,64,64,672
mp-1016107,2097152,128,128,128
mp-1188515,967680,84,96,120
mp-1427680,216000,60,60,60
mp-1112692,2744000,140,140,140
mp-1188037,737280,96,96,80
mp-753263,6144000,240,160,160
mp-1073358,860160,56,96,160
mp-979459,1000000,100,100,100
mp-1217855,884736,96,96,96
mp-1094605,884736,96,96,96
mp-25238,737280,96,96,80
mp-9085,524288,64,64,128
mp-1203722,7077888,192,192,192
mp-1232312,338688,56,56,108
mp-1198813,2073600,120,96,180
mp-1072984,1440000,60,80,300
mp-757076,2419200,80,140,216
mp-1204699,4478976,96,216,216
mp-1093995,1404928,112,112,112
mp-555609,5080320,168,168,180
mp-726274,4233600,140,140,216
mp-20032,288000,60,60,80
mp-756889,2744000,140,140,140
mp-554883,512000,80,80,80
mp-962067,512000,80,80,80
mp-1043303,884736,96,96,96
mp-1225747,884736,96,96,96
mp-831152,2744000,140,140,140
mp-1187153,884736,96,96,96
mp-571381,1935360,64,108,280
mp-760417,4096000,160,160,160
mp-1105118,1411200,72,140,140
mp-1228256,4096000,160,160,160
mp-1104841,768000,80,80,120
mp-780092,1505280,80,84,224
mp-1184373,409600,80,80,64
mp-777453,1536000,80,80,240
mp-1113297,1404928,112,112,112
mp-757866,2867200,80,128,280
mp-1222302,138240,48,48,60
mp-561247,5832000,180,180,180
mp-1218235,1000000,100,100,100
mp-1079083,884736,96,96,96
mp-771828,2239488,108,108,192
mp-779413,4423680,360,96,128
mp-560909,1080000,100,100,108
mp-1218876,21952000,280,280,280
mp-553966,1769472,96,96,192
mp-639978,884736,96,96,96
mp-1094683,2744000,140,140,140
mp-1193498,1036800,120,120,72
mp-1219874,524288,64,64,128
mp-569707,1376256,64,128,168
mp-1183860,512000,80,80,80
mp-27417,1128960,84,84,160
mp-1204604,1679616,108,108,144
mp-1113344,1404928,112,112,112
mp-1207837,1451520,96,108,140
mp-1206724,589824,64,64,144
mp-1202588,3870720,128,168,180
mp-1208795,2211840,60,192,192
mp-1207273,691200,80,80,108
mp-1046656,1161216,84,108,128
mp-11299,512000,80,80,80
mp-22277,524288,64,64,128
mp-542615,10077696,216,216,216
mp-1077750,512000,80,80,80
mp-627684,1053696,56,96,196
mp-1183612,884736,96,96,96
mp-1224056,1658880,96,96,180
mp-1273834,663552,72,96,96
mp-642228,3136000,80,140,280
mp-865184,373248,72,72,72
mp-1184030,262144,64,64,64
mp-31094,1128960,84,84,160
mp-1212127,1176000,140,140,60
mp-1224243,4741632,168,168,168
mp-1217137,1354752,112,112,108
mp-1210388,2949120,96,160,192
mp-976402,1105920,96,96,120
mp-746364,2744000,140,140,140
mp-1208706,1404928,112,112,112
mp-1186185,512000,80,80,80
mp-16796,1474560,96,96,160
mp-1147639,1000000,100,100,100
mp-1223490,1105920,72,120,128
mp-19030,1806336,96,112,168
mp-754160,640000,80,80,100
mp-1111848,1728000,120,120,120
mp-19809,580608,56,96,108
mp-571170,4300800,140,160,192
mp-19843,512000,80,80,80
mp-1039828,2744000,140,140,140
mp-766013,2073600,108,120,160
mp-1221764,860160,80,96,112
mp-1111144,884736,96,96,96
mp-28778,3276800,128,128,200
mp-770023,4390400,140,140,224
mp-760340,884736,96,96,96
mp-1174450,1024000,80,80,160
mp-1215740,10077696,216,216,216
mp-707226,2540160,108,120,196
mp-1191206,3072000,160,160,120
mp-1075486,1382400,64,100,216
mp-776172,691200,100,72,96
mp-1212162,1400000,100,100,140
mp-24749,2508800,112,140,160
mp-1190956,1185408,84,84,168
mp-861986,2097152,128,128,128
mp-1219451,2097152,128,128,128
mp-27889,3440640,96,128,280
mp-760393,2097152,128,128,128
mp-1028917,1290240,48,48,560
mp-754252,1228800,160,96,80
mp-706339,3810240,196,108,180
mp-621624,4096000,160,160,160
mp-1039782,2097152,128,128,128
mp-542200,3317760,144,144,160
mp-1211694,1000000,100,100,100
mp-542996,1728000,120,120,120
mp-1205585,884736,96,96,96
mp-1173111,248832,72,72,48
mp-771978,1128960,48,140,168
mp-865640,262144,64,64,64
mp-1220585,663552,72,96,96
mp-1018707,460800,60,60,128
mp-18966,442368,48,48,192
mp-1245925,1376256,128,128,84
mp-865000,373248,72,72,72
mp-6685,1259712,108,108,108
mp-753699,1658880,80,96,216
mp-1229113,1728000,120,120,120
mp-767775,2097152,128,128,128
mp-1077133,388800,60,60,108
mp-1185484,512000,80,80,80
mp-759658,774144,48,96,168
mp-1214276,1806336,96,96,196
mp-776200,884736,96,96,96
mp-1042824,2257920,140,112,144
mp-1207578,967680,56,96,180
mp-5151,2239488,108,108,192
mp-1214249,737280,48,48,320
mp-1193540,1024000,80,80,160
mp-1220235,2949120,128,128,180
mp-16044,653184,56,108,108
mp-1219925,373248,72,72,72
mp-697840,2257920,84,120,224
mp-1209522,4096000,160,160,160
mp-10835,2519424,108,108,216
mp-4163,2150400,160,160,84
mp-553901,3499200,180,108,180
mp-690789,884736,96,96,96
mp-971948,373248,72,72,72
mp-1093679,2985984,144,144,144
mp-1190121,1075200,80,80,168
mp-7798,672000,80,84,100
mp-1036802,2097152,128,128,128
mp-1210231,2519424,216,108,108
mp-768720,2293760,128,128,140
mp-758697,1935360,128,108,140
mp-865451,373248,72,72,72
mp-1104730,1000000,100,100,100
mp-18820,576000,60,60,160
mp-1227156,752640,80,84,112
mp-1195195,4147200,120,180,192
mp-568621,2097152,128,128,128
mp-1078203,1259712,108,108,108
mp-14782,3072000,160,160,120
mp-15805,175616,56,56,56
mp-1112022,2744000,140,140,140
mp-765343,1209600,84,100,144
mp-1229143,1792000,100,112,160
mp-1445156,1105920,96,96,120
mp-1204042,2211840,192,192,60
mp-1194509,1120000,80,100,140
mp-562541,2949120,160,96,192
mp-780511,1612800,80,84,240
mp-556389,2007040,112,128,140
mp-1218617,1612800,80,84,240
mp-1220846,3686400,96,240,160
mp-643263,592704,84,84,84
mp-756509,3763200,140,140,192
mp-1223887,860160,64,96,140
mp-1064840,604800,60,60,168
mp-758110,1290240,96,96,140
mp-1073308,688128,64,84,128
mp-1239116,1327104,96,128,108
mp-999460,338688,56,56,108
mp-758249,512000,80,80,80
mp-974571,311040,72,72,60
mp-1247014,1244160,144,72,120
mp-18884,1290240,96,96,140
mp-1019361,725760,72,72,140
mp-29690,3010560,192,112,140
mp-777267,1612800,80,84,240
mp-3531,3840000,100,100,384
mp-1180494,2073600,120,120,144
mp-758705,1881600,80,140,168
mp-2227127,960000,96,100,100
mp-559852,2150400,120,128,140
mp-1225757,1572864,128,128,96
mp-1079540,829440,72,72,160
mp-1212821,1404928,112,112,112
mp-1080303,1259712,108,108,108
mp-1176697,1075200,80,96,140
mp-757047,1814400,140,108,120
mp-1228843,1404928,112,112,112
mp-680111,1835008,64,64,448
mp-767946,2744000,140,140,140
mp-642358,4128768,96,96,448
mp-1221412,2097152,128,128,128
mp-1073465,790272,56,72,196
mp-33444,1179648,96,96,128
mp-1074815,1451520,48,140,216
mp-11192,518400,72,72,100
mp-1274711,860160,80,128,84
mp-11965,864000,120,120,60
mp-1184296,512000,80,80,80
mp-1029255,1881600,56,56,600
mp-1183259,1204224,112,112,96
mp-1100370,3528000,140,140,180
mp-20686,640000,80,80,100
mp-1198493,1693440,72,84,280
mp-1188284,2457600,96,160,160
mp-1211233,5529600,240,128,180
mp-998786,262144,64,64,64
mp-1041291,2457600,160,96,160
